⺕	gri
使領官員	si li~ gun jvn
使領館	si li~ gun
使頸	sri ge~
使館	si gun
使高貴	si gou #ri
使魔法	si mo fat
使麻痺	si ma bei
使𢃇	sri lei
侃	hon
侃侃	hon hon
侃侃而談	hon hon ji tam
侃價	hon ga
侃大山	hon dai san
侃星	hon si~
侃爺	hon je
侄仔	zrt zri
侄婦	zrt fu
侄心抱	zrt srm pou
來	loi
來不及	loi brt krp
來不得	loi brt drk
來世	loi sri
來之不易	loi zi brt ji
來人	loi jrn
來信	loi s!n
來函	loi ham
來到	loi dou
來勁	loi gi~
來勢	loi sri
來去無蹤	loi h!i mou zu~
來回	loi wui
來回來去	loi wui loi h!i
來回來去地	loi wui loi h!i dei
來安	loi on
來安縣	loi on jvn
來客	loi hak
來年	loi nin
來往	loi wo~
來得	loi drk
來得及	loi drk krp
來得容易去得快	loi drk ju~ ji h!i drk fai
來得早不如來得巧	loi drk zou brt jv loi drk hau
來復槍	loi fuk c@~
來復線	loi fuk sin
來意	loi ji
來文	loi mrn
來料加工	loi liu ga gu~
來日	loi jrt
來日方長	loi jrt fo~ c@~
來朝	loi ciu
來檬	loi mu~
來歷	loi lik
來歷不明	loi lik brt mi~
來港	loi go~
來源	loi jvn
來源於	loi jvn jv
來潮	loi ciu
來火	loi fo
來火兒	loi fo ji
來無影去無蹤	loi mou ji~ h!i mou zu~
來犯	loi fan
來生	loi sr~
來由	loi jru
來看	loi hon
來硬的	loi ~a~ dik
來示	loi si
來神	loi srn
來福槍	loi fuk c@~
來福線	loi fuk sin
來義	loi ji
來義鄉	loi ji h@~
來者	loi ze
來者不善善者不來	loi ze brt sin sin ze brt loi
來者不拒	loi ze brt k!i
來而不往非禮也	loi ji brt wo~ fei lri ja
來臨	loi lrm
來自	loi zi
來臺	loi toi
來華	loi wa
來著	loi z@k
來蘇糖	loi sou to~
來襲	loi zap
來訪	loi fo~
來說	loi svt
來說是非者便是是非人	loi svt si fei ze bin si si fei jrn
來講	loi go~
來賓	loi brn
來賓市	loi brn si
來路	loi lou
來路不明	loi lou brt mi~
來路嘢	loi lou je
來路貨	loi lou fo
來電	loi din
來電顯示	loi din hin si
來項	loi ho~
來頭	loi tru
來鳳	loi fu~
來鳳縣	loi fu~ jvn
來鴻	loi hu~
來鴻去燕	loi hu~ h!i jin
來龍去脈	loi lu~ h!i mrk
來Ｍ	lei Ｍ
侈	ci
侈糜	ci mei
侈談	ci tam
侈靡	ci mei
侉子	$a zi
例	lri
例假	lri ga
例句	lri g!i
例外	lri ~oi
例外字	lri ~oi zi
例如	lri jv
例子	lri zi
例會	lri wui
例水	lri s!i
例湯	lri to~
例牌	lri pai
例牌菜	lri pai coi
例示	lri si
例行	lri hr~
例行公事	lri hr~ gu~ si
例規	lri $ri
例言	lri jin
例語	lri jv
例證	lri zi~
例題	lri tri
侍	si
侍仔	si zri
侍候	si hru
侍奉	si fu~
侍女	si n!i
侍妾	si cip
侍弄	si lu~
侍從	si cu~
侍應	si ji~
侍應生	si ji~ sr~
侍立	si lap
侍者	si ze
侍衛	si wri
侍衛官	si wri gun
侍郎	si lo~
侏	zv
侏儒	zv jv
侏儒倉鼠	zv jv co~ sv
侏儒症	zv jv zi~
侏羅	zv lo
侏羅紀	zv lo gei
侏藍仙鶲	zv lam sin ju~
侖	l!n
侗人	du~ jrn
侗劇	du~ kek
侗族	du~ zuk
侘	ca
供	gu~
供不應求	gu~ brt ji~ kru
供佛花	gu~ frt fa
供品	gu~ brn
供大於求	gu~ dai jv kru
供奉	gu~ fu~
供應	gu~ ji~
供應品	gu~ ji~ brn
供應商	gu~ ji~ s@~
供應室	gu~ ji~ srt
供應者	gu~ ji~ ze
供應量	gu~ ji~ l@~
供應鏈	gu~ ji~ lin
供房	gu~ fo~
供書教學	gu~ sv gau hok
供桌	gu~ c@k
供樓	gu~ lru
供款	gu~ fun
供水	gu~ s!i
供求	gu~ kru
供油系統	gu~ jru hri tu~
供熱	gu~ jit
供燃氣	gu~ jin hei
供物	gu~ mrt
供狀	gu~ zo~
供獻	gu~ hin
供稱	gu~ ci~
供給	gu~ krp
供職	gu~ zik
供花	gu~ fa
供血	gu~ hvt
供血者	gu~ hvt ze
供詞	gu~ ci
供認	gu~ ji~
供貨	gu~ fo
供貨商	gu~ fo s@~
供過於求	gu~ #o jv kru
供銷	gu~ siu
供銷商	gu~ siu s@~
供電	gu~ din
供需	gu~ s!i
供養	gu~ j@~
侜	zru
依	ji
依仗	ji z@~
依依	ji ji
依依不捨	ji ji brt se
依偎	ji wui
依傍	ji bo~
依地酸二鈷	ji dei svn ji gu
依存	ji cvn
依安	ji on
依安縣	ji on jvn
依家	ji ga
依屬	ji suk
依山傍水	ji san bo~ s!i
依從	ji cu~
依循	ji c!n
依戀	ji lvn
依我來看	ji ~o loi hon
依我看	ji ~o hon
依撒依亞	ji sat ji a
依撒意亞	ji sat ji a
依撒格	ji sat gak
依據	ji g!i
依時	ji si
依時依候	ji si ji hru
依樣畫葫蘆	ji j@~ wak wu lou
依次	ji ci
依法	ji fat
依法治國	ji fat zi #ok
依洛瓦底	ji lok ~a dri
依然	ji jin
依然如故	ji jin jv gu
依然故我	ji jin gu ~o
依照	ji ziu
依牙鬆槓	ji ~a su~ gu~
依牙鬆鋼	ji ~a su~ go~
依稀	ji hei
依舊	ji gru
依著	ji z@k
依蘭	ji lan
依蘭縣	ji lan jvn
依計行事	ji gri hr~ si
依託	ji tok
依賴	ji lai
依足	ji zuk
依附	ji fu
依雲	ji wrn
依靠	ji kau
依順	ji s!n
依鬱	ji juk
侮	mou
侮弄	mou lu~
侮慢	mou man
侮罵	mou ma
侮蔑	mou mit
侮辱	mou juk
侯	hru
侯斯頓	hru si d!n
侯景之亂	hru gi~ zi lvn
侯爵	hru z@k
侯賽因	hru coi jrn
侯門	hru mun
侯門似海	hru mun ci hoi
侯馬	hru ma
侯馬市	hru ma si
侵	crm
侵佔	crm zim
侵入	crm jrp
侵入家宅者	crm jrp ga zak ze
侵入岩	crm jrp ~am
侵入性	crm jrp si~
侵入者	crm jrp ze
侵吞	crm trn
侵夜	crm je
侵害	crm hoi
侵截	crm zit
侵截者	crm zit ze
侵擾	crm jiu
侵攻	crm gu~
侵早	crm zou
侵晨	crm srn
侵權	crm kvn
侵權行為	crm kvn hr~ wri
侵犯	crm fan
侵犯版權	crm fan ban kvn
侵略	crm l@k
侵略戰爭	crm l@k zin zr~
侵略者	crm l@k ze
侵略軍	crm l@k #rn
侵華	crm wa
侵蝕	crm sik
侵蝕作用	crm sik zok ju~
侵襲	crm zap
侵越	crm jvt
侵食	crm sik
侶	l!i
侷促	guk cuk
侷限	guk han
侷麻藥	guk ma j@k
侸	sv
便	bin
便中	bin zu~
便人	bin jrn
便便	bin bin
便函	bin ham
便利	bin lei
便利商店	bin lei s@~ dim
便利店	bin lei dim
便利性	bin lei si~
便利貼	bin lei tip
便器	bin hei
便士	bin si
便壺	bin wu
便嬛	bin hvn
便宜	pin ji
便宜行事	pin ji hr~ si
便宜貨	pin ji fo
便宴	bin jin
便帽	bin mou
便急	bin grp
便所	bin so
便捷	bin zit
便捷化	bin zit fa
便攜式	bin $ri sik
便於	bin jv
便是	bin si
便服	bin fuk
便桶	bin tu~
便條	bin tiu
便條紙	bin tiu zi
便橋	bin kiu
便步走	bin bou zru
便民利民	bin mrn lei mrn
便池	bin ci
便溺	bin nik
便當	bin do~
便盆	bin pun
便秘	bin bei
便箋	bin zin
便簽	bin cim
便血	bin hvt
便衣	bin ji
便衣兵	bin ji ji bi~
便衣警察	bin ji gi~ cat
便裝	bin zo~
便覽	bin lam
便車	bin ce
便車旅行者	bin ce l!i hr~ ze
便道	bin dou
便酌	bin z@k
便門	bin mun
便閉	bin bri
便難	bin nan
便鞋	bin hai
便飯	bin fan
係	hri
係乜係物	hri mrt hri mrt
係人都知	hri jrn dou zi
係呀	hri a
係咁大	hri grm dai
係咁意	hri grm ji
係咪	hri mri
係咪先	hri mri sin
係唔係	hri m hri
係啦	hri la
係喎	hri wo
係噉	hri grm
係噉先	hri grm sin
係噉意	hri grm ji
係威係勢	hri wri hri sri
係就係	hri zru hri
係數	hri sou
係要	hri jiu
係路	hri lou
促	cuk
促使	cuk si
促動	cuk du~
促弦	cuk jin
促成	cuk si~
促求	cuk kru
促狹	cuk hap
促狹鬼	cuk hap #ri
促織	cuk zik
促聲	cuk si~
促膝	cuk srt
促膝談心	cuk srt tam srm
促請	cuk ci~
促退	cuk t!i
促進	cuk z!n
促銷	cuk siu
俄	~o
俄中	~o zu~
俄中朝	~o zu~ ciu
俄亥俄	~o hoi ~o
俄亥俄州	~o hoi ~o zru
俄備得	~o bei drk
俄克拉何馬	~o hrk lai ho ma
俄克拉何馬城	~o hrk lai ho ma si~
俄克拉何馬州	~o hrk lai ho ma zru
俄勒岡	~o lak go~
俄勒岡州	~o lak go~ zru
俄國	~o #ok
俄國人	~o #ok jrn
俄塔社	~o tap se
俄巴底亞書	~o ba dri a sv
俄底浦斯	~o dri pou si
俄底浦斯情結	~o dri pou si ci~ git
俄文	~o mrn
俄爾	~o ji
俄狄浦斯	~o dik pou si
俄羅斯	~o lo si
俄羅斯人	~o lo si jrn
俄羅斯帝國	~o lo si dri #ok
俄羅斯方塊	~o lo si fo~ fai
俄羅斯族	~o lo si zuk
俄羅斯聯邦	~o lo si lvn bo~
俄羅斯聯邦國歌	~o lo si lvn bo~ #ok go
俄羅斯輪盤	~o lo si l!n pun
俄而	~o ji
俄聯邦	~o lvn bo~
俄語	~o jv
俄軍	~o #rn
俄頃	~o ki~
俊	z!n
俊俏	z!n ciu
俊傑	z!n git
俊拔	z!n brt
俊秀	z!n sru
俊美	z!n mei
俊逸	z!n jrt
俊雅	z!n ~a
俏	ciu
俏皮	ciu pei
俏皮話	ciu pei wa
俏貨	ciu fo
俏麗	ciu lri
俐	lei
俐落	lei lok
俑	ju~
俑坑	ju~ ha~
俗	zuk
俗不可耐	zuk brt ho noi
俗世	zuk sri
俗世奇人	zuk sri kei jrn
俗事	zuk si
俗人	zuk jrn
俗例	zuk lri
俗名	zuk me~
俗品	zuk brn
俗套	zuk tou
俗字	zuk zi
俗家	zuk ga
俗氣	zuk hei
俗濫	zuk lam
俗稱	zuk ci~
俗話	zuk wa
俗話說	zuk wa svt
俗語	zuk jv
俗諺	zuk jin
俗諺口碑	zuk jin hru bei
俗辣	zuk lat
俗隨時變	zuk c!i si bin
俗骨	zuk #rt
俗體字	zuk tri zi
俘	fu
俘獲	fu wok
俘虜	fu lou
俚	lei
俚語	lei jv
俚諺	lei jin
俛	fu
保	bou
保不住	bou brt zv
保不定	bou brt di~
保不齊	bou brt cri
保亭	bou ti~
保亭縣	bou ti~ jvn
保亭黎族苗族自治縣	bou ti~ lri zuk miu zuk zi zi jvn
保人	bou jrn
保住	bou zv
保佑	bou jru
保你大	bou nei dai
保修	bou sru
保修期	bou sru kei
保健	bou gin
保健操	bou gin cou
保健食品	bou gin sik brn
保全	bou cvn
保八	bou bat
保准	bou z!n
保利科技有限公司	bou lei fo gei jru han gu~ si
保力龍	bou lik lu~
保加利亞	bou ga lei a
保加利亞人	bou ga lei a jrn
保加利亞語	bou ga lei a jv
保呈	bou ci~
保命	bou mi~
保單	bou dan
保固	bou gu
保墒	bou s@~
保外就醫	bou ~oi zru ji
保姆	bou mou
保姆車	bou mou ce
保媒	bou mui
保存	bou cvn
保存期	bou cvn kei
保守	bou sru
保守主義	bou sru zv ji
保守派	bou sru pai
保守黨	bou sru do~
保安	bou on
保安人員	bou on jrn jvn
保安團	bou on tvn
保安局	bou on guk
保安局局長	bou on guk guk z@~
保安族	bou on zuk
保安自動化	bou on zi du~ fa
保安費	bou on fri
保安部隊	bou on bou d!i
保定	bou di~
保定地區	bou di~ dei k!i
保定市	bou di~ si
保家衛國	bou ga wri #ok
保密	bou mrt
保密性	bou mrt si~
保山	bou san
保山地區	bou san dei k!i
保山市	bou san si
保底	bou dri
保康	bou ho~
保康縣	bou ho~ jvn
保德	bou drk
保德縣	bou drk jvn
保惠師	bou wri si
保戶	bou wu
保持	bou ci
保持中立	bou ci zu~ lap
保持克制	bou ci hrk zri
保持原貌	bou ci jvn mau
保持者	bou ci ze
保持聯繫	bou ci lvn hri
保時捷	bou si zit
保暖	bou nvn
保有	bou jru
保本	bou bun
保殘守缺	bou can sru kvt
保母	bou mou
保溫	bou wrn
保溫杯	bou wrn bui
保潔	bou git
保潔箱	bou git s@~
保濕	bou srp
保爾	bou ji
保爾森	bou ji srm
保特瓶	bou drk pi~
保環主義	bou wan zv ji
保甲制度	bou gap zri dou
保留	bou lru
保留劇目	bou lru kek muk
保留區	bou lru k!i
保皇黨	bou wo~ do~
保真度	bou zrn dou
保研	bou jin
保祐	bou jru
保稅	bou s!i
保稅區	bou s!i k!i
保管	bou gun
保管員	bou gun jvn
保羅	bou lo
保育	bou juk
保育員	bou juk jvn
保育院	bou juk jvn
保苗	bou miu
保薦	bou zin
保藏	bou co~
保衛	bou wri
保衛祖國	bou wri zou #ok
保衞	bou wri
保角	bou gok
保角對應	bou gok d!i ji~
保語	bou jv
保證	bou zi~
保證人	bou zi~ jrn
保證書	bou zi~ sv
保證破壞戰略	bou zi~ po wai zin l@k
保證金	bou zi~ grm
保護	bou wu
保護主義	bou wu zv ji
保護人	bou wu jrn
保護傘	bou wu san
保護劑	bou wu zri
保護區	bou wu k!i
保護國	bou wu #ok
保護性	bou wu si~
保護模式	bou wu mou sik
保護者	bou wu ze
保護色	bou wu sik
保護裝置	bou wu zo~ zi
保護費	bou wu fri
保費	bou fri
保質期	bou zrt kei
保送	bou su~
保釋	bou sik
保重	bou zu~
保鏢	bou biu
保鑣	bou biu
保長	bou c@~
保長對應	bou c@~ d!i ji~
保障	bou z@~
保障監督	bou z@~ gam duk
保險	bou him
保險公司	bou him gu~ si
保險單	bou him dan
保險套	bou him tou
保險業	bou him jip
保險槓	bou him go~
保險櫃	bou him #ri
保險盒	bou him hrp
保險箱	bou him s@~
保險絲	bou him si
保險解開系統	bou him gai hoi hri tu~
保險費	bou him fri
保險金	bou him grm
保靖	bou zi~
保靖縣	bou zi~ jvn
保飯碗	bou fan wun
保養	bou j@~
保養期	bou j@~ kei
保養證	bou j@~ zi~
保駕	bou ga
保鮮	bou sin
保鮮期	bou sin kei
保鮮紙	bou sin zi
保鮮膜	bou sin mok
保麗龍	bou lri lu~
保齡球	bou li~ kru
俞天白	jv tin bak
俞文豹	jv mrn pau
俞正聲	jv zi~ si~
俞穴	jv jvt
俟候	zi hru
俟機	zi gei
俠	hap
俠士	hrp si
俠客	hrp hak
俠氣	hrp hei
俠盜獵車手	hrp dou lip ce sru
俠盜飛車	hrp dou fei ce
俠義	hrp ji
信	s!n
信不信由你	s!n brt s!n jru nei
信令	s!n li~
信以為真	s!n ji wri zrn
信仰	s!n j@~
信仰者	s!n j@~ ze
信件	s!n gin
信任	s!n jrm
信佛	s!n frt
信使	s!n si
信使核糖核酸	s!n si hrt to~ hrt svn
信函	s!n ham
信口	s!n hru
信口胡說	s!n hru wu svt
信口開合	s!n hru hoi hrp
信口開河	s!n hru hoi ho
信口雌黃	s!n hru ci wo~
信史	s!n si
信和中心	s!n wo zu~ srm
信噪比	s!n cou bei
信報	s!n bou
信報財經新聞	s!n bou coi gi~ srn mrn
信天游	s!n tin jru
信天翁	s!n tin ju~
信奉	s!n fu~
信孚中外	s!n fu zu~ ~oi
信守	s!n sru
信宜	s!n ji
信宜市	s!n ji si
信宿	s!n suk
信實	s!n srt
信封	s!n fu~
信州	s!n zru
信州區	s!n zru k!i
信差	s!n cai
信徒	s!n tou
信得過	s!n drk #o
信從	s!n cu~
信德中心	s!n drk zu~ srm
信德省	s!n drk sa~
信心	s!n srm
信心爆棚	s!n srm bau pa~
信心百倍	s!n srm bak pui
信念	s!n nim
信息	s!n sik
信息中心	s!n sik zu~ srm
信息化	s!n sik fa
信息學	s!n sik hok
信息技術	s!n sik gei s!t
信息時代	s!n sik si doi
信息產業	s!n sik can jip
信息管理	s!n sik gun lei
信息系統	s!n sik hri tu~
信息素	s!n sik sou
信息與通訊技術	s!n sik jv tu~ s!n gei s!t
信息論	s!n sik l!n
信息靈通	s!n sik li~ tu~
信息高速公路	s!n sik gou cuk gu~ lou
信意	s!n ji
信手	s!n sru
信手拈來	s!n sru nim loi
信教	s!n gau
信服	s!n fuk
信札	s!n zat
信條	s!n tiu
信標	s!n biu
信步	s!n bou
信然	s!n jin
信物	s!n mrt
信用	s!n ju~
信用卡	s!n ju~ kat
信用危機	s!n ju~ ~ri gei
信用咭	s!n ju~ kat
信用社	s!n ju~ se
信用等級	s!n ju~ dr~ krp
信用觀察	s!n ju~ gun cat
信用評等	s!n ju~ pi~ dr~
信用評級	s!n ju~ pi~ krp
信用證	s!n ju~ zi~
信用證券	s!n ju~ zi~ hvn
信用額	s!n ju~ ~ak
信用風險	s!n ju~ fu~ him
信皮	s!n pei
信眾	s!n zu~
信神者	s!n srn ze
信筆	s!n brt
信筒	s!n tu~
信箋	s!n zin
信管	s!n gun
信箱	s!n s@~
信紙	s!n zi
信經	s!n gi~
信義	s!n ji
信義區	s!n ji k!i
信義鄉	s!n ji h@~
信肉	s!n juk
信號	s!n hou
信號彈	s!n hou dan
信號槍	s!n hou c@~
信號燈	s!n hou dr~
信號臺	s!n hou toi
信號處理	s!n hou cv lei
信託	s!n tok
信訪	s!n fo~
信誓旦旦	s!n sri dan dan
信譽	s!n jv
信豐	s!n fu~
信豐縣	s!n fu~ jvn
信貸	s!n tai
信貸危機	s!n tai ~ri gei
信貸衍生產品	s!n tai hin sr~ can brn
信貸違約掉期	s!n tai wri j@k diu kei
信賴	s!n lai
信賴區間	s!n lai k!i gan
信道	s!n dou
信邪	s!n ce
信陽	s!n j@~
信陽地區	s!n j@~ dei k!i
信陽市	s!n j@~ si
信靠	s!n kau
信風	s!n fu~
信鴿	s!n grp
修	sru
修剪	sru zin
修圖	sru tou
修士	sru si
修女	sru n!i
修好	sru hou
修建	sru gin
修復	sru fuk
修心養性	sru srm j@~ si~
修成正果	sru si~ zi~ #o
修手	sru sru
修指甲	sru zi gap
修撰	sru zan
修改	sru goi
修改稿	sru goi gou
修整	sru zi~
修文	sru mrn
修文縣	sru mrn jvn
修會	sru wui
修業	sru jip
修橋整路	sru kiu zi~ lou
修橋補路	sru kiu bou lou
修正	sru zi~
修正主義	sru zi~ zv ji
修正案	sru zi~ on
修正液	sru zi~ jik
修武	sru mou
修武縣	sru mou jvn
修水	sru s!i
修水利	sru s!i lei
修水縣	sru s!i jvn
修煉	sru lin
修煉成仙	sru lin si~ sin
修理	sru lei
修理工	sru lei gu~
修理廠	sru lei co~
修睦	sru muk
修禊	sru hri
修築	sru zuk
修編	sru pin
修練	sru lin
修繕	sru sin
修羅	sru lo
修習	sru zap
修腳	sru g@k
修腳師	sru g@k si
修葺	sru crp
修行	sru hr~
修行人	sru hr~ jrn
修補	sru bou
修補匠	sru bou z@~
修規	sru $ri
修訂	sru di~
修訂本	sru di~ bun
修訂歷史	sru di~ lik si
修訂版	sru di~ ban
修路	sru lou
修身	sru srn
修身養性	sru srn j@~ si~
修車	sru ce
修辭	sru ci
修辭學	sru ci hok
修辭格	sru ci gak
修造	sru zou
修造廠	sru zou co~
修遊	sru jru
修道	sru dou
修道士	sru dou si
修道張	sru dou z@~
修道會	sru dou wui
修道院	sru dou jvn
修配	sru pui
修長	sru c@~
修阻	sru zo
修院	sru jvn
修面	sru min
修鞋匠	sru hai z@~
修音	sru jrm
修飾	sru sik
修飾話	sru sik wa
修飾語	sru sik jv
修養	sru j@~
修齊	sru cri
俯	fu
俯仰	fu j@~
俯仰之間	fu j@~ zi gan
俯仰無愧	fu j@~ mou $ri
俯伏	fu fuk
俯就	fu zru
俯拾即是	fu srp zik si
俯拾皆是	fu srp gai si
俯瞰	fu hrm
俯瞰圖	fu hrm tou
俯瞰攝影	fu hrm sip ji~
俯臥	fu ~o
俯臥撐	fu ~o ca~
俯衝	fu cu~
俯視	fu si
俯身	fu srn
俯首	fu sru
俯首帖耳	fu sru tip ji
俯首稱臣	fu sru ci~ srn
俱	k!i
俱佳	k!i gai
俱全	k!i cvn
俱樂部	k!i lok bou
俱舍宗	k!i se zu~
俳	pai
俳句	pai g!i
俵	biu
俸	fu~
俸恤	fu~ s!t
俸祿	fu~ luk
俸給	fu~ krp
俸銀	fu~ ~rn
俸錢	fu~ cin
俹簁	na sri
俺	jim
俾	bei
俾使	bei si
俾倪	bei ~ri
俾夜作晝	bei je zok zru
俾心機	bei srm gei
俾斯麥	bei si mrk
俾晝作夜	bei zru zok je
俾格米	bei gak mri
俾路支	bei lou zi
俾路支省	bei lou zi sa~
俾錢	bei cin
俾面	bei min
倀	c@~
倀鬼	c@~ #ri
倆	l@~
倆錢	l@~ cin
倆錢兒	l@~ cin ji
倉	co~
倉促	co~ cuk
倉儲	co~ cv
倉卒	co~ cvt
倉山	co~ san
倉山區	co~ san k!i
倉底貨	co~ dri fo
倉庚	co~ gr~
倉庫	co~ fu
倉廩	co~ lrm
倉惶	co~ wo~
倉敷	co~ fu
倉猝	co~ cvt
倉皇	co~ wo~
倉皇出逃	co~ wo~ c!t tou
倉皇失措	co~ wo~ srt cou
倉頡	co~ kit
倉頡輸入法	co~ kit sv jrp fat
倉鴞	co~ hiu
倉黃	co~ wo~
倉鼠	co~ sv
個	go
個中	go zu~
個中人	go zu~ jrn
個人	go jrn
個人主義	go jrn zv ji
個人傷害	go jrn s@~ hoi
個人儲蓄	go jrn cv cuk
個人崇拜	go jrn su~ bai
個人數字助理	go jrn sou zi zo lei
個人衛生	go jrn wri sr~
個人賽	go jrn coi
個人防護裝備	go jrn fo~ wu zo~ bei
個人隱私	go jrn jrn si
個人電腦	go jrn din nou
個位	go wri
個例	go lri
個個	go go
個兒	go ji
個別	go bit
個半	go bun
個喎	go wa
個噃	go bo
個囉	go lo
個子	go zi
個展	go zin
個性	go si~
個性化	go si~ fa
個把	go ba
個案	go on
個股	go gu
個自	go zi
個舊	go gru
個舊市	go gru si
個陣	go zrn
個頭	go tru 
個頭兒	go tru ji
個體	go tri
個體戶	go tri wu
個體經濟	go tri gi~ zri
倌	gun
倍	pui
倍兒	pui ji
倍兒棒	pui ji pa~
倍塔	pui tap
倍增	pui zr~
倍增器	pui zr~ hei
倍感	pui grm
倍數	pui sou
倍足綱	pui zuk go~
倍足類	pui zuk l!i
倍頻器	pui prn hei
倏地	suk dei
倏忽	suk frt
倏然	suk jin
們	mun
倒	dou
倒下	dou ha
倒伏	dou fuk
倒休	dou jru
倒位	dou wri
倒倉	dou co~
倒像	dou z@~
倒冧	dou lrm
倒刺	dou ci
倒反	dou fan
倒吊冇滴墨水	dou diu mou dik mrk s!i
倒吊沙煲	dou diu sa bou
倒吊荷包	dou diu ho bau
倒吊蠟燭	dou diu lap zuk
倒噍	dou ziu
倒嚼	dou z@k
倒地	dou dei
倒坍	dou tan
倒垃圾	dou lap sap
倒塌	dou tap
倒塔咁早	dou tap grm zou
倒夜香	dou je h@~
倒寫	dou se
倒屎	dou si
倒屎咁早	dou si grm zou
倒帳	dou z@~
倒帶	dou dai
倒序	dou z!i
倒座兒	dou zo ji
倒弄	dou lu~
倒彩	dou coi
倒彩聲	dou coi si~
倒影	dou ji~
倒後鏡	dou hru ge~
倒懸	dou jvn
倒懸之危	dou jvn zi ~ri
倒懸之急	dou jvn zi grp
倒懸之苦	dou jvn zi fu
倒戈	dou #o
倒戈卸甲	dou #o se gap
倒扁	dou bin
倒手	dou sru
倒打一耙	dou da jrt pa
倒把	dou ba
倒抽一口氣	dou cru jrt hru hei
倒掛	dou #a
倒掟	dou de~
倒掟頭	dou de~ tru
倒插門	dou cap mun
倒換	dou wun
倒放	dou fo~
倒敗	dou bai
倒敘	dou z!i
倒數	dou sou
倒斃	dou bri
倒映	dou ji~
倒春寒	dou c!n hon
倒是	dou si
倒替	dou tri
倒果為因	dou #o wri jrn
倒栽蔥	dou zoi cu~
倒楣	dou mei
倒槽	dou cou
倒模	dou mou
倒水	dou s!i
倒汗水	dou hon s!i
倒流	dou lru
倒海翻江	dou hoi fan go~
倒瀉	dou se
倒瀉籮蟹	dou se lo hai
倒灌	dou gun
倒灶	dou zou
倒煙	dou jin
倒爺	dou je
倒牙	dou ~a
倒班	dou ban
倒瓤	dou no~
倒瓤冬瓜	dou no~ du~ #a
倒相	dou s@~
倒眼	dou ~an
倒睫	dou zit
倒空	dou hu~
倒竈	dou zou
倒立	dou lap
倒立像	dou lap z@~
倒米	dou mri
倒米壽星	dou mri sru si~
倒糞	dou frn
倒置	dou zi
倒翻轉	dou fan zvn
倒胃口	dou wri hru
倒背如流	dou bui jv lru
倒背手	dou bui sru
倒背手兒	dou bui sru ji
倒臥	dou ~o
倒臺	dou toi
倒苦水	dou fu s!i
倒茬	dou ca
倒茶	dou ca
倒藪	dou sru
倒蛋	dou dan
倒行逆施	dou hr~ jik si
倒裝	dou zo~
倒裝句	dou zo~ g!i
倒褪	dou trn
倒計時	dou gri si
倒買倒賣	dou mai dou mai
倒貼	dou tip
倒賠	dou pui
倒賣	dou mai
倒賬	dou z@~
倒車	dou ce
倒車擋	dou ce do~
倒轉	dou zvn
倒轉頭	dou zvn tru
倒退	dou t!i
倒運	dou wrn
倒過兒	dou #o ji
倒采	dou coi
倒鉤	dou ~ru
倒鎖	dou so
倒閉	dou bri
倒開	dou hoi
倒陽	dou j@~
倒霉	dou mui
倒霉蛋	dou mui dan
倒霉蛋兒	dou mui dan ji
倒頭	dou tru
倒騰	dou tr~
倔	#rt
倔尾龍	#rt mei lu~
倔強	#rt k@~
倔情	#rt ci~
倔擂槌	#rt l!i c!i
倔檑槌	#rt l!i c!i
倔篤	#rt duk
倔頭	#rt tru
倔頭巷	#rt tru ho~
倔頭路	#rt tru lou
倖免	hr~ min
倖存	hr~ cvn
倘	to~
倘佯	s@~ j@~
倘或	to~ wak
倘然	to~ jin
倘能如此	to~ nr~ jv ci
倘若	to~ j@k
候	hru
候任	hru jrm
候命	hru mi~
候審	hru srm
候教	hru gau
候機室	hru gei srt
候機廳	hru gei te~
候機樓	hru gei lru
候缺	hru kvt
候補	hru bou
候補名單	hru bou mi~ dan
候診	hru crn
候診室	hru crn srt
候車亭	hru ce ti~
候車室	hru ce srt
候選	hru svn
候選人	hru svn jrn
候鑊	hru wok
候風地動儀	hru fu~ dei du~ ji
候駕	hru ga
候鳥	hru niu
倚	ji
倚仗	ji z@~
倚傍	ji bo~
倚天屠龍記	ji tin tou lu~ gei
倚憑	ji pr~
倚欄望月	ji lan mo~ jvt
倚老賣老	ji lou mai lou
倚賴	ji lai
倚重	ji zu~
倚靠	ji kau
倜儻	tik to~
借	ze
借一借	ze jrt ze
借代	ze doi
借以	ze ji
借位	ze wri
借住	ze zv
借借	ze ze
借債	ze zai
借債人	ze zai jrn
借光	ze #o~
借入方	ze jrp fo~
借出	ze c!t
借刀殺人	ze dou sat jrn
借助	ze zo
借勢	ze sri
借取	ze c!i
借口	ze hru
借古喻今	ze gu jv grm
借古諷今	ze gu fu~ grm
借命	ze mi~
借咗聾耳陳隻耳	ze zo lu~ ji crn zek ji
借問	ze mrn
借問聲	ze mrn se~
借啲意	ze di ji
借單	ze dan
借單兒	ze dan ji
借喻	ze jv
借契	ze kri
借字	ze zi
借字兒	ze zi ji
借宿	ze suk
借尿遁	ze niu d!n
借屍還魂	ze si wan wrn
借屎遁	ze si d!n
借意	ze ji
借指	ze zi
借據	ze g!i
借支	ze zi
借故	ze gu
借方	ze fo~
借方差額	ze fo~ ca ~ak
借書	ze sv
借書單	ze sv dan
借書證	ze sv zi~
借東風	ze du~ fu~
借條	ze tiu
借機	ze gei
借款	ze fun
借款人	ze fun jrn
