⺕	gri
一啖砂糖一啖屎	jrt dam sa to~ jrt dam si
一啲	jrt di
一啲啲	jrt di di
一嘢	jrt je
一嚿嘢	jrt gru je
一嚿水	jrt gru s!i
一嚿溜	jrt gru liu
一嚿雲	jrt gru wrn
一嚿飯	jrt gru fan
一嚿飯噉	jrt gru fan grm
一回	jrt wui
一回事	jrt wui si
一國三公	jrt #ok sam gu~
一國之君	jrt #ok zi #rn
一國兩制	jrt #ok l@~ zri
一團	jrt tvn
一團和氣	jrt tvn wo hei
一團漆黑	jrt tvn crt hrk
一團火	jrt tvn fo
一團糟	jrt tvn zou
一坺	jrt pet
一坺迾	jrt pat lat
一堆	jrt d!i
一場	jrt c@~
一場歡喜一場空	jrt c@~ fun hei jrt c@~ hu~
一場空	jrt c@~ hu~
一塊	jrt fai
一塊兒	jrt fai ji
一塌糊塗	jrt tap wu tou
一塵不染	jrt crn brt jim
一壁	jrt bik
一壁廂	jrt bik s@~
一夔已足	jrt $ri ji zuk
一夕之間	jrt zik zi gan
一夕數驚	jrt zik sou gi~
一多對應	jrt do d!i ji~
一夜夫妻百日恩	jrt je fu cri bak jrt jrn
一夜情	jrt je ci~
一夜爆紅	jrt je bau hu~
一夜露水	jrt je lou s!i
一夜風流	jrt je fu~ lru
一大早	jrt dai zou
一大早兒	jrt dai zou ji
一天	jrt tin
一天一個樣	jrt tin jrt go j@~
一天光晒	jrt tin #o~ sai
一天到晚	jrt tin dou man
一天都光晒	jrt tin dou #o~ sai
一夫	jrt fu
一夫一妻	jrt fu jrt cri
一夫一妻制	jrt fu jrt cri zri
一夫多妻	jrt fu do cri
一夫當關	jrt fu do~ #an
一夫當關萬夫莫開	jrt fu do~ #an man fu mok hoi
一失足成千古恨	jrt srt zuk si~ cin gu hrn
一套	jrt tou
一如	jrt jv
一如往昔	jrt jv wo~ sik
一如所料	jrt jv so liu
一如既往	jrt jv gei wo~
一妻制	jrt cri zri
一妻多夫	jrt cri do fu
一妻多夫制	jrt cri do fu zri
一姐	jrt ze
一孔之見	jrt hu~ zi gin
一字	jrt zi
一字一淚	jrt zi jrt l!i
一字不差	jrt zi brt ca
一字不提	jrt zi brt tri
一字不漏	jrt zi brt lru
一字不落	jrt zi brt lok
一字不識	jrt zi brt sik
一字之差	jrt zi zi ca
一字之師	jrt zi zi si
一字千金	jrt zi cin grm
一字咁淺	jrt zi grm cin
一字巾	jrt zi grn
一字褒貶	jrt zi bou bin
一字角	jrt zi gok
一字馬	jrt zi ma
一官半職	jrt gun bun zik
一定	jrt di~
一定會	jrt di~ wui
一定要	jrt di~ jiu
一家	jrt ga
一家之主	jrt ga zi zv
一家人	jrt ga jrn
一家大細	jrt ga dai sri
一家子	jrt ga zi
一審	jrt srm
