# 1 2 3 4 5
#点横竖撇折

的	43522451
一	2
是	352223241
不	2431
了	53
在	243232
有	243522
我	4232541
人	41
他	43535
这	1241151
个	413
们	43135
来	2142341
大	241
为	1451
上	322
时	3522231
能	5135224545
以	5141
和	42341352
要	235332542
说	151435245
就	123523412451
到	25123233
地	232535
可	23523
那	522453
国	35223212
会	412251
也	535
中	3523
生	42232
子	532
著	23323243522
出	53353
你	4345341
家	1152454441
多	451451
得	44335222231
年	422323
用	45223
么	451
学	11415532
下	231
去	23251
工	232
都	2324352253
于	223
之	151
自	435222
对	51231
过	231151
方	1254
作	4342322
好	542532
成	245541
小	341
样	2341142223
看	422435222
分	4154
十	23
天	2241
面	243533222
发	54511
然	451124111111
同	352352
从	4141
后	442352
动	225154
种	423413523
所	44524423
没	1124551
她	542535
三	222
如	542352
两	2354141
又	51
此	323245
事	23525223
道	142435222151
还	2431151
而	243533
业	33142
起	2323241525
主	12232
二	22
行	443223
现	22323545
数	1423415424241
经	55251232
心	1511
因	352412
想	2341352221511
但	4335222
很	443522541
些	32324522
点	323521111
当	314522
物	42324544
只	35241
与	252
长	4251
前	142352233
水	3541
本	23412
开	2243
民	52525
法	11223251
其	23322241
见	3545
进	2243151
定	11523241
实	11511241
日	3522
把	2325325
知	42241352
最	352223322251
问	135352
等	421421232231
体	4323412
高	1235235352
已	525
各	451352
外	45131
里	3522322
意	1214235221511
由	35232
头	11241
力	54
四	35452
无	2245
正	23232
使	43235241
气	4225
做	43233524241
部	1214235253
理	22323522322
表	22324541
全	412232
将	123451231
相	234135222
重	423522322
间	1353522
加	54352
或	23522541
手	4223
常	31415352353
情	11322323522
及	451
己	525
明	35224522
应	1241142
它	11545
机	234145
产	121424
便	432352241
度	124233251
回	353522
位	4312142
向	435352
儿	45
公	4151
少	3414
形	2243444
电	35225
老	232445
候	4335242241
果	35222341
量	352223522322
几	45
第	42142152534
什	4323
活	112423352
走	2323241
直	23352222
比	2545
化	4345
身	4352224
义	141
先	423245
线	55222541
平	21423
美	142232241
利	4234133
文	1241
原	2443522341
再	235322
给	552412352
新	1214223414423
代	43251
变	12334151
西	235452
解	4545223544223
关	142241
才	234
立	12142
并	142243
边	54151
政	232324241
元	2245
别	3525433
员	3523541
真	2335222241
声	2325324
合	412352
教	23245324241
话	15423352
每	4255121
太	2411
更	2352241
五	2352
叫	35253
内	3541
月	4522
百	243522
甚	233222415
女	542
至	251232
呢	35252445
次	124541
题	352223241243541
受	41141551
社	1531232
放	12544241
山	353
入	41
九	45
计	1523
今	4115
战	323522541
东	25341
怎	423221511
被	1534154351
总	143521511
结	552232352
则	354133
听	3524423
眼	35222522541
打	23223
庭	124423251
名	451352
光	314245
路	3523232451352
车	2523
必	15141
命	41235253
反	4451
角	4545223
性	11342232
书	5531
六	1241
军	152523
接	23212142542
处	45131
者	23243522
色	455325
八	41
世	23325
像	4345352454441
期	233222414522
求	2312411
设	154551
白	43522
许	154223
运	2251151
亲	121422341
指	232453522
任	434232
图	35451112
通	5135223151
觉	114153545
论	154145
爱	4114152451
条	4512341
式	223251
门	135
例	43245133
界	352324143
即	5225153
且	35222
海	1124255121
港	112233241525
万	254
吗	352552
字	115532
记	15525
快	1135241
象	45352454441
建	52222351
算	42142135222243
提	232352223241
组	55235222
称	4234145341
近	4423151
却	2325153
花	2334345
共	233241
带	233315353
往	44312232
观	513545
完	1152245
场	232544
感	2423525411511
风	4541
件	434223
类	142341241
难	5143122232
特	4232232231
住	4312232
信	431222352
决	125241
程	423413522232
示	22341
空	11541232
号	35225
影	352212352341444
何	4323523
展	5242332541
北	32245
认	1541
制	42235333
思	352321511
质	44233541
科	423411123
吃	352425
较	2532124141
半	14223
市	12353
球	22322312411
取	23322251
望	12545222232
强	525352352321
流	1121251435
笑	4214214241
片	4325
坐	4141232
该	15125441
王	2232
验	5524121142
阶	534143
交	124141
党	3141535245
区	2415
早	352223
保	433522341
造	4232352151
千	423
极	2341451
热	2324511111
写	15252
队	5341
管	42142111535252
七	25
根	2341522541
目	35222
父	4141
南	233514223
安	115542
孩	532125441
资	1245413541
非	32223222
神	153135223
改	5254241
切	2554
师	342353
妈	542552
金	41223142
转	25322251
若	23324352
死	245145
品	352352352
清	11222323522
满	1122332354141
报	2325351
农	154541
单	14352223
办	5411
级	552451
马	552
远	2245151
吧	3525325
收	534241
步	3232344
据	23252423352
连	2523151
容	1154141352
段	432224551
争	455223
离	1241533551
服	45225351
跟	3523232522541
视	15313545
试	15223251
究	1154145
告	4232352
音	121423522
导	525231
统	552125145
积	4234135241
治	11251352
香	423413522
张	5254251
士	232
识	1535241
易	35224544
须	444243541
虽	352352321
照	3522543521111
料	1423411123
似	435141
器	3523522411352352
苦	23323352
始	54251352
故	233524241
乐	45341
整	2352341424123232
术	23411
革	233235223
精	14234122323522
火	1441
传	432251
需	21531111243533
友	2451
务	45154
确	243524545223
约	552451
研	243522243
系	4551341
领	41151243541
失	42241
除	534122341
请	1522323522
份	434154
未	22341
消	1123143522
越	232324125541
具	35222241
曾	143531423522
志	2321511
商	12143541352
够	45352451451
谈	1514411441
达	241151
足	3523241
深	11215412341
项	232243541
备	45135232
钱	4222522541
轻	253251232
青	22323522
府	12443231
般	4451214551
石	24352
校	2341124141
演	11211523523241
准	1243122232
持	232232231
兴	114241
众	414141
包	45525
食	411522541
增	232143531423522
响	352435352
船	44512145352
病	1241223541
细	55235232
飞	541
答	421421412352
仍	4354
习	512
值	4323352222
列	245133
米	142341
亦	124341
功	23254
让	15322
率	12551124123
晚	35224535245
参	51241444
母	55121
节	23353
价	434143
调	1545232352
土	232
讲	152243
另	35254
河	11223523
院	531152245
房	15241254
找	2322541
济	112124143
基	23322241232
拿	4123524223
星	352242232
言	1222352
英	23335241
息	4352221511
装	123232124541
举	114241223
育	12513522
温	112352235332
随	53243522151
黑	351423221111
群	5224352142223
买	511241
欢	514541
画	23523253
史	35241
劳	2331554
夜	12434511
集	431222322341
站	1214232352
衣	124541
落	233112451352
团	352342
底	12445251
规	22413545
联	233222142241
谁	1543122232
古	23352
夫	2241
哪	352522453
首	142435222
选	423245151
际	5322341
司	52352
啊	3525323523
推	23243122232
刻	12544133
均	2324512
喜	232352142352
引	5253
红	552232
留	4515435232
倒	4325123233
渐	11225324423
证	1523232
养	142224143
读	1523511241
存	243532
官	11535252
呀	3522534
格	2341451352
怕	11343522
断	14234154423
您	43453411511
树	234151231
纸	5524525
送	142241151
令	41151
广	124
专	2251
干	223
久	451
岁	353451
注	11212232
低	4345251
支	2351
简	4214211353522
显	352233142
医	2422415
愿	24435223411511
族	12544242241
初	1534154
历	2454
境	23212142352245
爸	41415325
铁	4222542241
势	23245154
环	22322431
乎	41423
标	234122341
议	15141
斗	1123
差	142224232
适	423352151
屋	524251232
助	3522254
织	55235241
皮	54351
块	2325241
哥	2352323523
微	4433532454241
朋	45224522
客	115451352
黄	23323523241
依	43124541
紧	3351551341
油	11235232
拉	23212142
假	43523225251
续	55223511241
速	2352341151
草	233352223
局	5245352
华	434523
右	24352
吸	352451
脸	45224121142
阳	533522
终	55245111
考	232425
素	2232551341
破	2435254351
脚	45222325153
属	524435235321
敌	4233524241
况	1235245
权	234151
刚	354133
围	3522532
技	2322351
费	525433541
置	3533223352222
句	45352
城	232245541
严	2331424
止	3232
男	3523254
忙	113125
态	24111511
害	1152223352
排	23232223222
错	4222523323522
穿	115412534
密	11515141353
致	2512324241
钟	422253523
弟	1452534
急	455221511
赛	11522332413541
兵	4323241
供	43233241
诉	1544231
台	51352
否	2431352
静	22323522455223
睡	3522242323322
左	24232
查	234135222
林	23412341
压	242321
某	233222341
胜	452242232
划	254133
厂	24
察	11545115122341
击	22353
洲	112141313
午	4223
周	45232352
绝	552455325
停	43123521523
继	5521423415
帝	121415353
艺	2335
伤	434254
居	52423352
鱼	45352322
跑	352323245525
语	152352352
派	112444541
念	41151511
纪	552525
叶	35223
奇	24123523
卖	23511241
余	4122341
班	2232142232
省	341435222
唱	35235223522
味	35222341
德	443233533221511
德	443243533221511
室	115251232
充	125145
圆	3535235412
雨	23531111
防	531254
银	42225522541
负	453541
责	22323541
毛	4225
竟	12142352245
爷	414153
帮	222453353
液	11212434511
射	4352224231
配	2354522525
酒	1122354522
睛	3522222323522
律	443522223
状	1232411
构	23414551
尽	524111
血	435332
饭	4554451
歌	23523235234541
布	24353
采	41142341
赶	2323241223
冷	1241151
怪	11351232
靠	423235232223222
委	42341542
效	1241414241
坏	2322431
复	423522451
投	2324551
慢	11335223533251
灯	144123
木	2341
获	2334542411
案	1155422341
双	5151
洋	112142223
层	5242251
含	4115352
护	2321524
弹	52514352223
待	443232231
修	433451444
尤	2451
昨	352242322
突	115412411
讨	15231
村	2341231
沙	1123414
批	2322545
减	12242352541
货	43453541
课	1535222341
啦	35223212142
坚	3351232
敢	52332224241
亮	123521545
预	5153243541
笔	4214214225
误	153522241
既	522512545
述	23411151
短	422412352142
汽	1124225
拍	23243522
营	23315352352
顶	23243541
席	1242332353
趣	232324123322251
限	53522541
药	233552451
固	35233522
植	234123352222
警	2334535242411222352
维	55243122232
抗	2321245
忽	45441511
概	2341522512545
呼	35241423
章	12142352223
脑	4522124153
互	2552
股	45224551
乱	4233525
座	1244141232
距	35232322525
武	22323251
剧	5242335233
顾	2455243541
创	415533
印	45253
希	4124353
亚	233142
激	1124352212544241
烧	1441254245
杂	452341
职	23322235241
输	2532412352233
练	55225541
端	12142353243533
朝	233522234522
替	224122413522
险	534121142
免	4535245
施	125442535
独	454352321
缺	4223535241
旧	33522
景	352212352341
妇	542522
旁	1214151254
姐	54235222
源	1122443522341
阵	532523
祖	153135222
仅	4351
谓	15352323522
担	23235222
测	112354133
江	112232
异	525243
乘	4233224541
曲	352332
牛	4223
跳	3523232412541
换	2324535241
富	115235235232
惊	11312352341
遇	352235321151
困	3523412
按	232115542
略	35232451352
恶	2331421511
永	15541
良	1522541
型	224333232
嘴	3523232454545223
园	3522452
怀	1132431
乡	554
检	23414121142
克	2335245
升	4243
封	232232231
板	23414451
店	12432352
守	115231
陆	5322353
背	322453522
救	23124114241
玩	22322245
烈	2451331111
礼	15315
善	142223142352
痛	124125135223
杀	412341
括	232423352
毒	223255121
戏	512541
攻	2324241
苏	2335411
普	142331423522
透	4234154151
途	4122341151
肉	354141
肯	32323522
沈	1121545
烟	1441352412
田	35232
优	432451
娘	5421522541
付	43231
汉	11251
败	35414241
幸	23214223
春	222413522
暗	3522121423522
绿	55252231241
尺	5241
模	23412333522241
熟	123525324511111
伟	432253
掉	23232352223
央	35241
婚	54245253522
录	52231241
野	35223225153
益	1424135332
丽	2351351
材	2341234
散	233235224241
票	23533222341
镜	4222512142352245
喝	352352245415
序	1245153
菜	23341142341
判	1422433
骨	355153522
巴	5325
楼	2341142341542
湾	112123341525
摇	2324114422353
附	5343231
露	215311113523232451352
策	421421235341
款	232223414541
卫	532
欧	24154541
罢	3533223251
盛	24554135332
诺	1523324352
楚	2341234153241
庄	124232
咱	352435222
逐	2454441151
染	112452341
疑	45422415153241
季	42341532
移	42341451451
虫	352321
零	2153111141151
床	1242341
健	4352222351
街	443232232223
雪	21531111522
旅	1254424541
粉	1423414154
介	4143
顺	433243541
忘	1251511
占	32352
斯	233222414423
丝	55552
训	15433
灭	21441
云	2251
县	3522251
福	1531235235232
鼓	2323521422351
折	2324423
窗	115414354512
夏	2435222451
冲	123523
宣	115235222
翠	51251212414123
降	53451253
游	112125442532
针	4222523
酸	23545225141451
岸	35324223
愈	4123522331511
桥	2341424143
钢	422253541
追	435252151
氧	4225142223
舞	42233332451253
堂	31415352232
闻	135233222
弄	2232243
宝	11522321
危	452455
妹	54222341
协	235411
哭	3523522411
喊	352242352541
谢	154352224231
洗	112423245
超	232324154352
硬	243522352241
浪	1121522541
范	23311255
懂	113233423522322
挥	232152523
宗	11522341
甲	35223
燃	1441451124111111
鲜	45352322142223
贵	352323541
评	1521423
凡	451
架	543522341
临	334213532
棉	234143522353
耳	233222
馆	45511535252
齐	124143
彩	41142341444
抽	23235232
轮	25324145
迎	4553151
努	5425154
翻	414234135232512512
遍	152435233151
抱	23245525
触	4545223352321
孔	5325
徒	4432323241
毫	12352154225
访	151254
沿	11245352
阿	5323523
唯	35243122232
搜	232432522351
培	23212142352
盘	44512135332
州	141313
企	413232
赞	4232454232453541
丰	2223
灵	5221441
康	12452231241
纷	5524154
京	12352341
亡	125
泥	11252445
波	11254351
倍	4312142352
罗	35332451
诗	15232231
混	11235222545
仔	43532
尚	31435352
招	23254352
廿	2332
副	23523523233
姑	54223352
径	44351232
税	423411435245
匪	2322232225
释	414234151223
圈	35142241552
惯	11355323541
枪	23414155
氏	4525
握	232524251232
私	4234151
蛋	53241352321
刀	54
巨	2525
承	53222541
财	3541234
退	522541151
额	115451352243541
威	242542541
绍	55254352
归	34522
侵	435221551
束	2352341
避	5243521214223151
兄	35245
筑	421421232451
厘	243522322
休	432341
摆	2323533223251
遭	23523323522151
户	1524
控	23211541232
莫	2333522241
迷	142341151
童	121423522322
顿	2535243541
桌	3235222341
绩	55222323541
虑	3254251511
爬	44315325
瓶	1422432551
扩	232124
宜	11535222
补	1534131
颜	121424444243541
脱	45221435245
恐	2324511511
伸	4335223
执	232451
末	22341
镇	422252335222241
套	2412322251
闹	13512353
毕	254523
鸟	45152
罪	3533232223222
枝	23412351
岛	4515353
掌	314153524223
湖	112233524522
吹	3524541
编	552152435233
寻	522231
禁	2341234122341
盖	14223235332
弱	5251252512
李	2341532
犯	45455
择	23251223
秋	423411441
藏	23324524235235541
茶	233412341
伯	4343522
摄	2322332225151
默	3514232211112411
繁	42551214241551341
陈	5325341
荷	2334323523
稳	42341455221511
诸	1523243522
垂	42323322
尼	52445
篇	421421152435233
勇	513522354
磁	24352142551551
秘	4234115141
餐	3245151411522541
刺	23534133
偏	43152435233
晨	35222422541
姓	54242232
胞	452245525
君	5224352
鸡	5145152
亿	435
奶	54254
狗	45445352
挂	232232232
醒	2354522352242232
厚	243522532
矿	24352124
菌	23335423412
污	112225
尔	45341
寒	115223324111
伙	431441
斜	41223411123
堆	23243122232
映	352235241
销	422253143522
奋	24135232
仪	43141
杯	23412431
登	514412352142
扬	232544
袋	43251124541
索	2315551341
冰	123541
探	23215412341
横	234123323523241
溶	1121154141352
忍	5411511
暴	352223324131241
逃	412541151
冬	45111
抓	2324431
献	2335142232411
遗	352323541151
励	2425454
哈	352412352
损	2323523541
泪	11235222
牙	2534
荣	233152341
幕	2333522241353
播	232414234135232
词	1552352
聚	23322251434441
促	433523241
借	4323323522
偶	43352235321
稍	423413143522
航	4451211245
订	1523
博	232352231231
搬	2324451214551
森	234123412341
夺	241231
菁	23322323522
闪	13541
隔	532352351423
享	12352532
抵	23245251
潮	112233522234522
碰	2435214233142
朵	452341
载	2322532541
宽	1152333545
币	4353
监	3342135332
灰	241441
纯	5522535
腿	4522522541151
辆	25322354141
玻	223254351
域	23223522541
悲	322232221511
淡	11214411441
雄	245143122232
抬	23251352
阻	5335222
乃	54
劲	5123254
核	2341125441
覆	235332443423522451
逼	235235232151
铜	42225352352
佛	4352543
蒸	2335354121111
鞋	233235223232232
斤	4423
胡	233524522
震	215311112422541
劣	341454
巧	23225
洞	112352352
洁	112232352
拥	23245223
督	3223415135222
丈	241
劝	5154
貌	41145444352245
麦	2232451
愉	113412352233
购	35414551
售	43122232352
尊	142354522231
麻	12423412341
彼	44354351
阴	534522
湿	112352233142
缩	55211543243522
贸	451543541
插	232423432522
颗	35222341243541
智	422413523522
肥	45225325
敬	233453524241
惜	11323323522
龙	24541
搞	2321235235352
粒	14234112142
璃	22321241533551
乏	4151
胶	4522124141
赏	314153523541
松	23414151
粮	1423411522541
壁	5243521214223232
迹	124341151
叔	32234151
频	3232344243541
谋	15233222341
尾	5244225
磨	1242341234124352
皇	435222232
猛	45453235332
缘	552552454441
鬼	435224551
患	35235231511
础	2435253353
奏	222412241
奖	123451241
哲	2324423352
肤	45222241
耐	243533231
轴	253235232
偷	43412352233
粗	14234135222
迅	523151
浮	1124114532
哩	3523522322
迟	5241151
爆	1441352223324131241
羊	142223
佳	43232232
摸	2322333522241
梦	23412341451
幼	55154
侧	43354133
凭	43423245
泡	11245525
碎	2435212414123
盐	2323135332
废	12454511
挑	232412541
婆	11254351542
岩	35324352
泣	11212142
蒙	2331522454441
跌	352323242241
烦	1441243541
秒	423413414
俄	434232541
汗	112223
煤	1441233222341
穷	1154154
箱	421421234135222
绘	552412251
兰	14222
仰	434553
描	23223335232
饰	45542353
残	245122541
版	43254451
绕	552254245
尖	341241
讯	15523
碗	2435211545155
盆	415435332
操	2323523523522341
氢	422551232
纵	5524141
欲	41413524541
番	414234135232
嫂	542432522351
腰	4522235332542
牌	432543522423
肩	15243522
冒	352235222
幅	353235235232
累	35232551341
舒	412233525153
倾	4325243541
奔	24123243
暂	253244233522
豆	2352142
壮	123232
擦	23211545115122341
玉	22321
典	35233241
薄	2331122352231231
滑	112355153522
详	15142223
页	243541
皆	254543522
夹	214241
糖	1423411245223352
怜	11341151
梁	11254112341
授	23241141551
征	44323232
捕	2322352231
剩	423322454133
邻	4115153
旋	12544253241
凉	1212352341
盾	442335222
延	432551
械	23412243541
码	24352552
届	52435232
恢	113241441
迫	43522151
予	5153
召	54352
措	23223323522
珠	2232422341
琴	223222324115
妻	25223542
宋	1152341
陷	5345432522
俗	434141352
弯	123341525
宇	115223
殖	245123352222
册	45452
瞧	35222431222321111
衡	4434535232241223
塞	1152233241232
彻	4432554
诚	15245541
钻	4222532352
壤	23212352352223324541
妙	5423414
厅	2423
缓	552411422451
闭	135234
渡	112124233251
骂	352352552
旗	12544223322241
宫	115352352
戴	23235232233241541
析	23414423
符	42142143231
暖	3522411422451
纳	5523541
蓝	2333342135332
阔	135112423352
漠	1122333522241
疗	1241253
伴	4314223
坡	23254351
彷	4431254
截	23243122232541
棒	234122241223
仿	431254
犹	4542451
挺	232423251
艰	51522541
躺	435222431435352
役	4434551
悄	1133143522
鼻	43522235232243
乙	5
竞	1214235245
圣	51232
网	354141
剪	14235223354
灾	1151441
藉	23322234123323522
障	5312142352223
割	115222335233
狂	4542232
署	3533223243522
虎	32542545
姿	124541542
欣	44234541
珍	223241444
猫	45423335232
践	352323222541
跃	35232324241
矛	51534
援	232411422451
邦	222453
弃	1251243
龄	3232415341151
启	1524352
裂	245133124541
寄	11524123523
拖	23242535
贴	354132352
伍	432352
殊	2451422341
袖	1534135232
纺	5521254
柱	234112232
池	112535
申	35223
拜	422422223
炸	144142322
脏	4522124232
朗	1522514522
贡	2323541
俩	432354141
竹	423423
虚	32542533142
辛	1214223
墨	351423221111232
辞	4233521214223
伦	434145
怒	542511511
瓜	44511
胸	4522454153
趋	232324145522
填	2322335222241
哦	3524232541
牲	423242232
卡	32231
唐	1245223352
忆	1135
净	12455223
踏	352323235413522
软	25324541
怨	451551511
忧	1132451
桩	2341124232
滴	11212143523352
浓	112154541
埋	2323522322
宁	11523
扇	1524512512
塑	1425344522232
饮	4554541
驶	55235241
勉	453524554
晓	3522254245
渔	11245352322
碳	24352353241441
兼	1425223341
吓	352231
慰	524223412311511
抢	2324155
审	11535223
捉	2323523241
绳	55235235225
饿	4554232541
叙	412234151
估	4323352
呈	3522232
闷	1351511
泛	1124151
祝	153135245
贫	41543541
疾	1241242241
厉	24254
胆	452235222
嘛	35212423412341
摩	124234123414223
陪	5312142352
寂	11532234151
扑	23231
邀	4352212544241151
骑	55224123523
辉	314245152523
勤	2332352223254
孤	53244511
挤	232124143
谷	4141352
帽	353352235222
蜂	3523214512223
涂	1124122341
旦	35222
秦	2224142341
串	3523523
呆	3522341
嗯	3523524121511
驾	54352552
咬	352124141
毁	4325222324551
孙	532341
庆	124241
削	314352233
拔	23224511
帐	3534251
伏	432411
惟	11343122232
眉	532435222
辩	1214224151214223
抑	2324553
脉	452215541
恰	113412352
灌	11223335235243122232
颇	54351243541
苍	2334155
拒	2322525
棵	234135222341
肚	4522232
稻	423414114432522
菲	23332223222
汤	112544
疯	124124541
仗	43241
剥	5223124133
哎	35223341
牧	42324241
腐	12443231354141
悉	41423411511
壳	2321545
炼	144125541
剂	12414333
恨	113522541
搭	232233412352
炉	14411524
秀	4234154
签	4214214121142
绪	55223243522
猪	45423243522
闲	1352341
井	2243
窝	115413523541
撞	232121423522322
匆	45441
宿	11543243522
愤	113232333541
晶	352235223522
滚	1121241514541
墙	23223142353522
昏	45253522
铅	4222545352
甘	23322
膀	45221214151254
违	2253151
忠	35231511
戒	2243541
浅	11222541
烂	144114222
猜	45422323522
扫	232522
沟	1124551
润	1121352232
甜	42335223322
耕	2223412243
迁	423151
狱	454152411
凝	1245422415153241
凝	1245433415153241
喷	352232333541
糊	142341233524522
吐	352232
姊	5424534
躲	4352224452341
腾	4522142241552
卷	14224155
罚	353321533
敲	12352353523251
稀	423414124353
振	2322422541
贯	55323541
疲	1241254351
筋	421421452254
尝	314152251
瓦	2551
慌	113233125435
漂	11223533222341
裁	232124541541
赖	2352341453541
欠	4541
漫	11235223533251
赚	35411425223341
肃	52234341
柴	3232452341
赤	2324341
焦	431222321111
荒	233125435
丢	423251
杆	2341223
盼	352224154
臂	52435212142233522
臣	235235
涉	1123232344
聪	233222143521511
阅	1351435245
叹	35251
胎	452251352
汇	11225
租	4234135222
胀	45224251
膜	45222333522241
仙	43353
吉	232352
刊	22333
冠	152245231
慧	222322235221511
缝	5524512223151
遵	142354522231151
丧	23142541
纤	552423
峰	3534512223
柔	515342341
澳	112435142341241
辈	322232222523
