\u357D	SI4
\u3580	LE4 LUO4
\u3581	LIN4
\u3582	YI4
\u3583	HOU3
\u3585	XU4
\u3586	QU2 QU3
\u3587	ER2
\u358F	NEI4
\u3590	WEI3
\u3591	XIE4
\u3592	TI2
\u3593	HONG2
\u3594	TUN3
\u3595	BO4 NIE4
\u3596	NIE4
\u3597	YIN2
\u359E	WAI1
\u359F	SHOU4
\u35A0	BA4 NUO4
\u35A1	YE4
\u35A2	JI2 QI2
\u35A3	TOU4
\u35A4	HAN2
\u35A5	JIONG3
\u35A6	DONG3
\u35A7	WEN3
\u35A8	LU4
\u35A9	SOU3
\u35AA	GUO2
\u35AB	LING2
\u35AD	TIAN3
\u35AE	LUN2
\u35B6	YE4
\u35B7	SHI2 TI2
\u35B8	XUE2
\u35B9	FEN4
\u35BA	CHUN3
\u35BB	ROU2
\u35BC	DUO3 LIN2 MOU2
\u35BD	ZE2 ZEI2
\u35BE	E4
\u35BF	XIE2
\u35C1	E4
\u35C2	SHENG3
\u35C3	WEN3 YIN4
\u35C4	MAN2 MAN4
\u35C5	HU2
\u35C6	GE2 KAI4
\u35C7	XIA2
\u35C8	MAN4
\u35C9	BI4 E4 LÜE4
\u35CA	JI2
\u35CB	HOU2
\u35CC	ZHI4
\u35D1	BAI4
\u35D2	AI4
\u35D5	GOU4
\u35D6	DAN4
\u35D7	BAI3
\u35D8	BO2 FU4
\u35D9	NA4
\u35DA	LI4
\u35DB	XIAO4
\u35DC	XIU4
\u35E2	DONG4
\u35E3	TI4
\u35E4	CU4
\u35E5	KUO4
\u35E6	LAO2
\u35E7	ZHI4
\u35E8	AI3
\u35E9	XI1
\u35EB	QIE4
\u35F0	CHU4 CONG2
\u35F1	JI2
\u35F2	HUO4 XI4
\u35F3	TA3
\u35F4	YAN2
\u35F5	XU4
\u35F7	SAI3
\u35FC	YE4
\u35FD	XIANG3
\u35FF	XIA4
\u3600	ZUO4
\u3601	YI4
\u3602	CI2
\u3605	XIAN2
\u3606	TAI2
\u3607	RONG2
\u3608	YI1
\u3609	ZHI4
\u360A	YI4
\u360B	XIAN2
\u360C	JU4
\u360D	JI2 QI4
\u360E	HAN3 HAN4
\u3610	PAO4 PENG3
\u3611	LI4
\u3613	LAN2
\u3614	CAN3 SAI3
\u3615	HAN3 LAN2
\u3616	YAN2
\u3619	YAN2 YAN3
\u361A	HAN3
\u361C	CHI3 CHOU2 CHU4
\u361D	NIAN3 NIE4
\u361E	HUO4
\u3620	BI4 MI4
\u3621	XIA2
\u3622	WENG3
\u3623	XUAN2 YUAN2
\u3625	YOU2
\u3626	QIN2
\u3627	XU4
\u3628	NEI4
\u3629	BI4
\u362A	HAO4
\u362B	JING3
\u362C	AO4
\u362D	AO4
\u3632	JU2
\u3634	ZUO4
\u3635	BU4
\u3636	JIE2
\u3637	AI4
\u3638	ZANG4
\u3639	CI2
\u363A	FA2
\u363F	NIE4
\u3640	LIU4
\u3641	MANG3 MEI2 MEI4 MU4 NA4
\u3642	DUI4
\u3644	BI4
\u3645	BAO3
\u3647	CHU4
\u3648	HAN2 XIA4
\u3649	TIAN3
\u364A	CHANG2 ZHANG4
\u364F	FU4
\u3650	DUO3
\u3651	YU3
\u3652	YE3
\u3653	KUI2
\u3654	HAN2
\u3655	KUAI4
\u3657	KUAI4
\u3659	LONG3
\u365B	BU3
\u365C	CHI2 TAI2
\u365D	XIE2
\u365E	NIE4
\u365F	LANG3
\u3660	YI4
\u3662	MAN2 MEN2
\u3663	ZHANG4
\u3664	XIA4
\u3665	GUN3
\u3668	JI4 QI2
\u3669	LIAO2
\u366A	YE4 YI4
\u366B	JI2
\u366C	YIN2
\u366E	DA1 DA5
\u366F	YI4
\u3670	XIE4
\u3671	HAO4
\u3672	YONG3
\u3673	HAN3 HE2 KAN3
\u3674	CHAN4 ZHAN4
\u3675	TAI2
\u3676	TANG2
\u3677	ZHI2
\u3678	BAO4 BO2 PU2
\u3679	MENG2
\u367A	GUI4 KUI2
\u367B	CHAN2 QIE4 ZAN4
\u367C	LEI3
\u367E	XI4 XUE2
\u3681	QIAO2 QIAO4 QU4
\u3682	RANG2
\u3683	YUN2 YUN4
\u3685	LONG2
\u3686	FU4
\u3689	GU3
\u368C	HUA4 HUO3
\u368D	GUO2 KUI3 KUI4
\u368F	GAO3
\u3690	TAO4
\u3692	SHAN3
\u3693	LAI2 LAI3
\u3694	NIE4
\u3695	FU2
\u3696	GAO3
\u3697	QIE2 XIE2
\u3698	BAN4
\u369B	XI4
\u369C	XU4 YU4
\u369D	KUI2
\u369E	MENG3 SHEN3 YING4 YUN4
\u369F	CHUO4
\u36A1	JI3
\u36A2	NU2
\u36A3	XIAO2
\u36A4	YI4
\u36A5	YU2
\u36A6	YI2
\u36A7	YAN3
\u36A9	RAN3
\u36AA	HAO4
\u36AB	SHA4 ZHA4
\u36AD	YOU2
\u36AF	XIN2 XUN2
\u36B0	BI3
\u36B2	DIAN3 SHAN4
\u36B4	BU4
\u36B6	SI4
\u36B7	ER3 NAI3
\u36B9	MAO3
\u36BA	YUN4
\u36BD	QIAO3
\u36BF	PAO2
\u36C2	NUO3
\u36C3	JIE2
\u36C5	ER4
\u36C6	DUO3
\u36CA	DUO3
\u36CD	QIE4
\u36CF	OU4 QIU2
\u36D0	SOU3 XUAN2
\u36D1	CAN4
\u36D2	DOU4
\u36D4	PENG2
\u36D5	YI4
\u36D7	ZUO4
\u36D8	PO4
\u36D9	QIE4 QIN2 SHEN3 SHEN4
\u36DA	TONG3
\u36DB	XIN4 ZHEN4
\u36DC	YOU2
\u36DD	BEI4 BENG4
\u36DE	LONG4
\u36E5	TA4
\u36E6	LAN3
\u36E7	MAN3
\u36E8	QIANG3
\u36E9	ZHOU2
\u36EA	YAN4 YUAN2
\u36EC	LU4
\u36EE	SAO3
\u36EF	MIAN3
\u36F1	RUI4 WEI3
\u36F2	FA4
\u36F3	CHA4 YI4
\u36F4	NAO3
\u36F6	CHOU2 TAN2 TAN4
\u36F8	SHU4
\u36F9	PIAN2
\u36FB	KUI3
\u36FC	SHA4
\u36FE	XIAN2
\u36FF	ZHI4
\u3703	LIAN4 LIAO2 MANG2
\u3704	XUN2
\u3705	XU4
\u3706	MI4
\u3707	HUI4 YE4
\u3708	MU4
\u370A	PANG4 ZHAN3
\u370B	YI4
\u370C	GOU4
\u370D	TANG2
\u370E	QI2 XI4
\u370F	YUN2
\u3710	SHU4
\u3711	FU2 PO2
\u3712	YI4
\u3713	DA2
\u3715	LIAN2
\u3716	CAO2
\u3717	CAN3 CHU2 XUAN4
\u3718	JU4
\u3719	LU4
\u371A	SU4
\u371B	NEN4 RUAN3
\u371C	AO4
\u371D	AN3 AN4
\u371E	QIAN4
\u3723	RAN2
\u3724	SHEN3
\u3725	MAI2 MO2
\u3726	HAN4 NIE4 SI4 XIE2 XIN2
\u3727	YUE4
\u3728	ER2 NAI2
\u3729	AO4 BIE2
\u372A	XIAN3
\u372B	MA4 MEI2 MEI3
\u372E	LAN4
\u3730	YUE4
\u3731	DONG4 ZHI4
\u3732	WENG3 YING2
\u3733	HUAI2
\u3734	MENG4
\u3735	NIAO3
\u3736	WAN3
\u3737	MI2 NAI3 XIAN3
\u3738	NIE4
\u3739	QU2
\u373A	ZAN4
\u373B	LIAN4
\u373C	ZHI2 ZHI4
\u373D	ZI3
\u373E	HAI2
\u373F	XU4
\u3740	HAO4
\u3741	XUN2
\u3742	ZHI4
\u3743	FAN4 MIAN3 WAN3
\u3744	CHUN2 QI4 RUN4
\u3745	GOU4
\u3747	CHUN2
\u3748	LUAN2
\u3749	ZHU4
\u374A	SHOU3
\u374B	LIAO2 LIAO3 LIU2
\u374C	JIE2 JIU4 ZHOU4
\u374D	XIE3
\u374E	DING4
\u374F	JIE4
\u3750	RONG2
\u3751	MANG2 PANG2
\u3753	GE2 KE4
\u3754	YAO4
\u3755	NING2
\u3756	YI2 YIN2
\u3757	LANG2
\u3758	YONG2
\u3759	YIN2
\u375B	SU4
\u375D	LIN2
\u375E	YA4
\u375F	MAO2 MAO4 WU3
\u3760	MING2
\u3761	ZUI4
\u3762	YU3
\u3763	YE4 YI4
\u3764	GOU4
\u3765	MI3
\u3766	JUN4 YA2
\u3767	WEN3
\u376A	DIAN4 DING3
\u376B	LONG2
\u376D	XING3
\u376E	CUI4
\u376F	QIAO2
\u3770	MIAN2
\u3771	MENG4
\u3772	QIN3
\u3774	WAN2
\u3775	DE2 AI4
\u3776	AI4 DE2
\u3778	BIAN4
\u3779	NOU2
\u377A	LIAN2 LIN2
\u377B	JIN3
