㖺	ib:3
㖻	nq:2 rz:4
㖼	do:3
㖽	ze:2
㖾	ee:4
㖿	xp:2 ye:2
㗀	yz:1
㗁	ee:4
㗂	ug:3
㗃	wf:3 hb:1
㗄	ku:1
㗅	hu:2
㗆	ge:2
㗇	xx:2 ya:5
㗈	mj:4
㗉	ly:4 ee:4
㗊	ji:2 lw:2
㗋	hz:2
㗌	vi:4
㗏	wd:1
㗑	bd:5
㗒	ai:4
㗓	vv:1
㗔	qm:1
㗕	gz:4 gz:1
㗖	dj:4
㗗	bw:1
㗘	bo:2
㗙	iu:1 na:4 vz:1
㗚	li:4
㗛	xc:4
㗜	xq:4
㗢	hs:2 ds:4 hs:4
㗣	ti:4
㗤	cu:4
㗥	ko:4 go:1
㗦	lk:2
㗧	vi:4 dp:2
㗨	xp:1 ai:3
㗩	xi:1
㗫	qp:4
㗬	va:1
㗭	xi:1
㗰	cs:2
㗱	ji:2
㗲	ho:4
㗳	ta:3 da:1
㗴	yj:2
㗵	xu:4
㗶	po:1
㗷	sd:3
㗻	go:1
㗼	ye:4
㗽	xl:3
㗾	xt:1
㗿	he:2 xx:4 xx:1
㘀	zo:4
㘁	yi:4
㘂	ci:2
㘄	lg:1
㘅	xm:2
㘆	td:3
㘇	rs:2
㘈	yi:4 ni:3
㘉	vi:4
㘊	xi:1 yi:4
㘋	xm:2
㘌	ju:4
㘍	ji:2
㘎	hj:3
㘐	pk:4
㘑	li:4
㘓	lj:2
㘔	sd:3
㘕	hj:3 lj:2
㘖	yj:2
㘗	qu:1
㘙	yj:2
㘚	hj:3
㘛	kj:1
㘜	ii:3
㘝	np:4
㘞	ho:4
㘠	bi:4
㘡	xx:2
㘢	wg:3
㘣	xr:2 yr:2
㘤	wj:1
㘥	yz:2
㘦	qn:2
㘧	xu:4
㘨	np:4
㘩	bi:4
㘪	hk:4
㘫	jy:3
㘬	ao:4 wu:4
㘭	ao:4
㘰	vf:1
㘱	tj:1
㘲	ju:2
㘴	zo:4
㘵	bu:4
㘶	jp:2
㘷	ai:4
㘸	zh:4 zo:4
㘹	ci:2
㘺	fa:2
㘿	np:4
㙀	lq:4 jq:4
㙁	mw:2 mu:4
㙂	dv:4 wg:4
㙃	bh:1
㙄	bi:4
㙅	bk:3
㙇	iu:4
㙈	xx:4
㙉	tm:3
㙊	ih:2 vh:4
㙍	do:1
㙎	ww:1
㙏	fu:4
㙐	do:3
㙑	yu:3
㙒	ye:3
㙓	kv:2
㙔	ww:3 hj:4
㙕	ky:4
㙗	ww:1
㙘	yk:1
㙙	ls:3
㙚	xy:1
㙛	bu:3
㙜	ii:2
㙝	xp:2
㙞	np:4
㙟	lh:3
㙠	yi:1 yi:4
㙡	zs:1
㙢	mj:2
㙣	vh:4
㙤	xx:4
㙥	gb:4
㙦	xp:2
㙨	ji:4
㙩	lc:2
㙪	yi:4
㙫	ji:2
㙬	yn:2
㙮	da:1 da:5
㙯	yi:4
㙰	xp:4
㙱	hk:4
㙲	ys:3
㙳	kj:3 hj:3
㙴	ij:4
㙵	td:2
㙶	th:2
㙷	vi:2 ve:2
㙸	bk:4
㙹	mg:2
㙺	kv:2 gv:4
㙻	ij:2
㙼	lw:3
㙾	xi:4
㚀	xi:1
㚁	qc:4
㚂	nh:4
㚃	yb:1
㚅	ls:2
㚆	fu:4
㚇	zs:1
㚉	gu:3
㚊	kd:1
㚋	dc:1
㚌	hx:4
㚍	kv:3 kv:4
㚏	gk:3
㚐	tk:4
㚒	uj:3
㚓	ld:3
㚔	np:4 xy:4
㚕	fu:2
㚖	gk:3 ze:2
㚗	qp:2
㚘	bj:4 he:4 fu:2
㚙	jx:1
㚚	ks:1 kl:1
㚛	xi:4
㚜	yu:4 xu:4
㚝	vv:1
㚞	uf:3
㚟	io:4
㚠	xc:1
㚡	ji:3
㚢	nu:2 wu:3
㚣	xc:2
㚤	yi:4
㚥	yu:2
㚦	yi:2
㚧	yj:3
㚨	uf:3
㚩	rj:3
㚪	hk:4
㚫	sa:4
㚬	jb:1
㚭	yz:2
㚯	xn:2
㚰	pw:1 bi:3
㚱	qq:1
㚲	ij:1 dm:3 dm:4
㚴	bu:4
㚵	ds:1
㚶	si:4 yi:2
㚷	er:3
㚹	mk:3 lq:3
㚺	yb:4
㚻	ji:1
㚽	qc:3
㚾	xs:1
㚿	pk:2
㛀	iu:2
㛁	pg:1
㛂	no:3
㛃	jp:2
㛄	yi:1
㛅	er:4
㛆	do:4 do:3
㛊	do:3
㛍	qp:4 xm:3 xx:2
㛎	lv:3
㛏	qq:2
㛐	sz:3
㛑	cj:4
㛒	dz:4
㛓	xi:1
㛔	fg:1 pg:2
㛕	yi:4 ee:4
㛖	so:1
㛗	qp:1 zo:1 so:1
㛘	po:4
㛙	xn:1 qp:4
㛚	ts:3 ys:3
㛛	xn:4
㛜	yz:2
㛝	bw:4
㛞	ls:4
㛣	yb:2
㛤	li:2
㛥	ta:4
㛦	lj:3
㛧	mj:3
㛨	ql:3
㛩	vz:2
㛪	yj:4 yj:1
㛫	xi:1
㛬	lu:4
㛭	xi:1
㛮	sk:3
㛯	fj:4 mm:3 vr:4
㛱	ww:3 ww:1
㛲	fa:4
㛳	yi:4
㛴	nk:3
㛵	ig:1
㛶	tj:4
㛷	ji:1
㛸	uu:4
㛹	pm:2
㛺	an:1
㛻	kx:1
㛼	ia:1 ua:4
㛾	xm:2
㛿	vi:4
㜂	fg:1
㜃	lm:4
㜄	xb:2
㜅	xu:4
㜆	mi:4
㜇	hv:4 ye:4
㜈	mu:4
㜉	ys:1
㜊	vj:3
㜋	yi:4
㜌	nz:3 gz:4 kz:4
㜍	th:2
㜎	xi:1 xi:4
㜏	yb:2
㜐	uu:4
㜑	fu:2
㜒	yi:4
㜓	da:2
㜕	lm:2
㜖	ck:2
㜗	cj:1 sf:1
㜘	ju:4 qu:4 ia:2
㜙	lu:4
㜚	su:4
㜛	nf:4
㜜	ao:4
㜝	an:3 yj:3
㜞	qm:4 cj:2
㜠	cv:1
㜡	cs:1
㜣	rj:2 rj:3
㜤	nm:3 tm:3 tj:2
㜥	md:2
㜦	xn:2
㜧	yt:4
㜨	nd:2
㜩	ao:4
㜪	uf:1
㜫	ma:4
㜮	lj:4 lj:2
㜯	xi:1
㜰	yt:4
㜱	vi:4
㜲	wg:3
㜳	hy:2
㜴	mg:4
㜵	nc:3
㜶	wj:3
㜷	mi:2 xm:3
㜸	np:4
㜹	qu:2
㜺	zj:4
㜻	lm:4
㜼	vi:2
㜽	zi:3
㜾	hj:2
㜿	xu:4
㝀	hk:4
㝁	xr:1 qs:2
㝂	vi:4 ve:4
㝃	mm:3
㝄	ib:2
㝅	gz:4
㝇	ib:2
㝈	lr:2
㝉	vu:4
㝊	uz:3
㝋	lc:3
㝌	jq:4
㝍	xp:3
㝎	dy:4
㝏	jp:4
㝐	rs:2
㝑	mh:2
㝓	ke:4
㝔	yk:3
㝕	ny:2
㝖	yi:2
㝗	lh:2 lh:3
㝘	ys:2
㝙	yn:2
㝚	yj:2
㝛	su:4
㝝	ln:2
㝞	ya:1 ya:4
㝟	mk:2
㝠	my:2
㝡	zv:4
㝢	yu:3
㝣	yi:4
㝤	gz:4
㝥	mi:3
㝦	jb:4
㝧	wf:3
㝩	kh:1
㝪	dm:4
㝫	ls:2
㝭	xy:3
㝮	cv:4
㝯	qc:2
㝰	mm:2
㝱	mg:4
㝲	qn:3
㝴	wj:2
㝵	de:2 ai:4
㝶	ai:4
㝸	bm:4
㝹	nz:2
㝺	lm:2
㝻	jn:3
㝼	yu:1
㝽	iv:2
㝾	zo:3
㝿	bo:3
㞀	hv:1
㞁	yk:4
㞂	tv:3 tv:4
㞃	ji:4
㞄	an:1
㞅	lo:4
㞆	ji:3
㞇	ww:3
㞈	bo:1
㞉	za:1
㞊	xu:4
㞋	nm:3 ji:2
㞌	yb:4
㞎	ba:3 pa:1
㞏	ve:2 jp:2
㞐	ju:1
㞑	ww:3
㞒	xp:4 xi:4
㞓	qi:4 ji:1
㞔	yi:2
㞕	xp:4
㞖	ci:2 ci:4
㞗	qq:2
㞘	du:1
㞙	nc:4
㞚	qi:4 va:3
㞛	ji:3
㞜	tv:1
㞞	ss:2
㞟	dm:4 dy:3
㞠	lk:2
㞡	vj:3
㞤	yn:2 cf:2
㞥	cf:2
㞦	ji:3
㞧	hv:4
㞨	zi:3
㞩	lj:2
㞪	nk:2
㞫	ju:4
㞬	qn:4
㞭	dd:4
㞯	jp:2
㞰	xu:3
㞱	cs:1
㞲	ys:4
㞳	dz:3
㞴	ii:2 mn:2
㞶	mn:3
㞷	hl:2
㞸	sv:4
㞹	ke:3
㞺	zu:2
㞻	hk:4
㞼	ig:2
㞽	xt:4
㞾	ni:2
㞿	ii:4
㟀	lm:2
㟁	an:4
㟂	mu:3
㟃	si:1
㟄	xl:2
㟅	yh:2
㟆	hx:2
㟇	co:4 co:2
㟈	qq:2
㟉	lk:2
㟊	fu:2
㟋	dv:4
㟌	mh:2
㟍	lh:2 lh:3
㟎	to:3 tv:3
㟏	hj:4
㟐	mh:3
㟑	bo:2
㟒	qb:1
㟓	qi:2
㟔	hj:4
㟖	ls:4 ls:2
㟘	tc:2
㟙	ze:2
㟚	qi:2
㟛	zj:4
㟜	mi:2
㟝	pw:2
㟞	vj:4
㟟	xl:4
㟠	gh:3
㟢	qi:2
㟤	lu:4
㟦	yb:4
㟧	ee:4
㟨	dr:1
㟩	mn:2
㟪	ww:1 ww:3
㟫	qr:2
㟬	sz:3
㟭	mn:2
㟮	tu:1
㟰	my:3
㟱	yk:3
㟲	jt:2
㟳	li:4
㟴	ky:4
㟵	gh:3
㟶	yr:2
㟷	da:5
㟹	lk:2
㟺	lz:2
㟻	qm:4 vj:3
㟼	ao:2
㟽	bc:3 bc:1
㟾	ys:1
㟿	mh:3 mh:2
㠀	dk:3
㠂	ao:2
㠄	xi:2
㠅	fu:2 fu:4
㠆	dj:1
㠇	jq:4
㠈	rb:4
㠉	ts:2
㠊	qu:1
㠋	ee:4
㠌	qi:1
㠍	ji:2
㠎	ji:2 jp:2
㠏	hx:2
㠐	jc:4
㠑	zv:4
㠒	bc:3
㠓	mg:2
㠔	bd:4
㠕	ww:3
㠖	yi:3
㠗	ao:4
㠘	yu:3
㠙	hk:2
㠚	dv:4
㠛	wo:4
㠜	ni:4
㠝	ir:2
㠟	li:2
㠠	lu:2
㠡	nc:3
㠢	hy:2
㠣	li:4
㠥	lv:4 lw:2 lw:3
㠦	fg:1
㠧	mi:3
㠨	yu:4
㠪	ju:4
㠭	vj:3
㠮	pg:1 gh:1
㠯	yi:3
㠱	ji:4 qi:3
㠲	bi:3
㠴	rf:4
㠵	hl:1
㠶	fj:2
㠷	ge:2
㠸	ku:4
㠹	jp:4
㠺	ua:1 mc:2
㠼	si:1
㠽	ts:2
㠾	yr:1
㠿	zi:1 ci:3
㡀	bi:4
㡁	kx:3
㡂	li:4
㡃	hl:1
㡄	xb:2
㡅	no:3
㡇	ve:2 jp:1
㡈	wf:4 mf:2 mm:3
㡉	xm:2
㡊	qx:4
㡋	ye:2 an:1
㡌	mk:4
㡏	uu:4 xu:1 tz:2 uu:1
㡑	qc:1 jc:3
㡒	vb:1
㡓	kb:1
㡔	wu:4
㡕	yy:1
㡖	il:2
㡗	ti:2
㡘	lm:2 ln:2
㡙	bi:1
㡚	gz:1
㡛	mh:2
㡜	xp:4 xt:3
㡝	fg:4
㡞	lz:2 lv:3
㡟	zk:1
㡠	vg:4
㡡	iu:2
㡢	mj:4
㡣	ls:2
㡥	yn:4
㡦	pn:1
㡧	vg:4
㡨	jm:1 qm:1
㡩	lr:2
㡪	np:2
㡫	yi:4
㡭	ji:4
㡮	ji:2
㡯	vd:2 du:4 do:2
㡰	yu:3
㡱	jq:3
㡲	hr:2
㡳	vi:3
㡴	la:1
㡵	ly:2
㡶	vi:3
㡷	bf:3
㡸	va:4 va:3 ia:2
㡹	ju:1
㡺	dj:4
㡻	lc:4
㡼	yi:4
㡽	vk:4
㡾	xm:4
㡿	ii:4
㢀	ci:4
㢁	ii:3 ui:3
㢂	yj:3 tv:2 dv:1
㢃	lh:2
㢄	dz:4
㢅	ls:4
㢆	ij:2
㢈	tv:2 dv:1
㢉	ia:2
㢊	ai:3 yi:3
㢋	ii:3
㢍	yy:3
㢎	ve:2
㢏	tz:2 yu:3 yu:2
㢑	tv:2
㢒	ia:2
㢓	yk:3
㢔	zs:3
㢖	pj:1 bj:1
㢗	qc:4
㢘	lm:2
㢙	qn:2
㢚	lu:3
㢛	yj:4 qm:1
㢜	kh:1 kh:4
㢝	su:1
㢞	yi:4
㢟	ij:1
㢠	js:3
㢡	jl:3
㢣	jy:4
㢥	ds:4
㢧	jr:4
㢨	hj:4
㢩	di:4
㢬	hs:2
㢮	ii:2
㢯	dc:1 mn:2
㢰	bi:4
㢲	xb:4
㢳	lu:2
㢵	xp:2 ue:4
㢶	bi:4
㢸	bi:4
㢺	xm:2
㢻	rv:4
㢼	bp:4
㢽	er:3
㢾	jr:4
㣀	vf:4
㣁	bw:4
㣂	ee:4
㣃	yu:3
㣄	qu:2
㣅	zj:4
㣆	mi:2
㣇	yi:4
㣈	si:4
㣌	uj:4
㣍	td:2
㣎	mu:4
㣏	jy:4
㣐	bm:4
㣑	rs:2
㣒	cg:4
㣓	cj:4
㣔	dy:1
㣙	di:2 vz:4
㣚	ts:3 ts:2 ds:4
㣛	ta:4 hv:4
㣜	xy:2
㣝	ss:1
㣞	do:2
㣟	xi:4
㣠	tk:1 ts:2
㣢	ti:2
㣣	uj:4
㣤	jm:4
㣥	vi:4
㣦	ww:1
㣧	yn:4
㣪	hr:3
㣫	vs:3 ds:4
㣬	qi:4
㣭	zs:1
㣯	xp:4
㣰	xp:4
㣱	ze:2
㣲	ww:2
㣵	ta:4
㣶	vj:1
㣷	ny:4
㣻	yi:4
㣼	rf:3
㣽	uu:4 nu:4
㣾	ia:4
㣿	vo:2 dc:3
㤁	mm:3
㤂	ji:2
㤃	fh:2
㤄	pw:4
㤅	ai:4 xi:4 ji:4
㤆	fj:4
㤇	ao:3
㤈	qn:4
㤉	qx:1 ya:4
㤊	xc:4
㤋	ff:1
㤌	gj:1
㤍	qc:1 qc:3
㤎	ge:1
㤏	ts:2
㤐	ij:1
㤑	yz:4
㤒	gk:1
㤓	bf:4
㤔	fu:4
㤕	iu:4 po:4
㤖	vu:4
㤘	vz:4
㤚	hh:2
㤛	nn:2
㤜	jt:2
㤝	is:1
㤞	ia:4 do:2 ze:2
㤟	ks:3
㤠	lp:4
㤡	li:4 lp:4
㤢	yu:4
㤤	yu:2
㤥	hj:4
㤦	li:4
㤧	hz:2
㤨	gs:3
㤩	ke:4
㤪	yr:4
㤫	de:2
㤬	hv:4
㤮	gl:4
㤯	js:3
㤰	zo:4
㤱	fu:4 dz:4
㤲	qp:4
㤳	bw:3
㤴	ie:4 ue:4 dp:2
㤵	ci:2
㤶	mh:2 mh:4
㤷	hj:1
㤸	xi:4
㤹	qq:2 jq:4
㤺	hl:3
㤽	iz:2
㤾	sj:4 tj:4
㤿	yj:1
㥀	vi:2 de:2
㥁	de:2
㥂	te:4
㥃	mf:4
㥄	ly:2
㥅	uz:4
㥆	tv:4
㥇	cj:2
㥈	dp:2
㥉	ie:4
㥊	pg:2 pg:1
㥋	yi:1
㥌	ju:2
