#横一垂二三点捺，
#叉四插五方块六，
#七角八八九是小，
#点下有横变零头。
# 1  2  3  4  5  6  7  8  9  0
# q  w  e  r  t  y  u  i  o  p
# 横 垂 点 叉 插 框 角 八 小 亠

该	3078
传	2423
仅	2724
审	3050
驼	7311
驴	7312
啰	6602
嘅	6101
嘢	6702
啱	6206
喺	6209
咗	6401
锑	8872
顸	1148
揾	5601
缮	2816
鳀	2618
臜	7428
荟	4473
跶	6411
镮	8673
鳝	2816
悭	2721
纻	2311
诠	2811
铚	8171
屘	7721
旸	6702
狝	4729
玱	1811
玑	1711
瑷	1214
珰	1911
硚	1262
祎	3522
祃	3721
秾	2493
箓	8813
纴	2211
绖	2111
缊	2611
蒇	4244
赒	7782
赑	7878
钤	8872
铦	8276
铓	8471
钖	8772
锽	8271
镕	8376
镋	8971
陧	7621
颞	1148
飏	7721
驲	7610
骉	7011
鲒	2416
鸰	8231
鸮	6221
鹒	3221
鹙	2910
鹠	2261
黡	1023
龁	2871
閪	7722
抦	5102
噃	6206
罉	8975
唓	6404
讬	3171
哋	6701
啲	6202
揼	6108
厾	1173
哣	6101
瞓	6100
㗎	6609
曱	7710
攰	4741
嗰	6600
㓤	4260
鎅	8162
㷫	4790
㞹	2172
冚	3772
睺	6703
嵖	2971
甴	2077
啫	6406
嗞	6803
喆	4466
唥	6804
嚟	6709
梿	4494
○	6000
俫	2529
粦	9025
冧	3799
卐	2112
勐	1712
嫑	1040
掹	5701
擝	5701
踎	6116
乸	4771
嗱	6805
堃	0010
嗻	6003
鹮	6271
裇	3221
嗮	6107
嘥	6208
餸	8871
兲	1080
枱	4396
劏	9260
㓥	9210
氹	1971
𨅬	6712
軚	4443
脷	7220
埞	4318
唞	6400
肶	7121
㶶	9403
嫲	4049
惗	9803
櫈	4391
踭	6215
䟴	6113
噏	6892
	6602
啩	6203
䢛	3730
馃	2779
吔	6701
喐	6702
剦	4270
髎	7722
髃	7722
锠	8676
硵	1266
獴	4423
浛	3816
榅	4691
嘡	6901
嘚	6604
咹	6304
𩠌	2873
〇	6000
喼	6203
嚡	6404
嚤	6005
嚿	6407
坺	4314
孭	1648
揦	5200
搲	5303
攞	5601
疍	1710
簕	8842
膶	7722
臯	2040
舦	2423
艔	2024
蠄	2812
轪	4443
辀	4242
炻	9106
蒽	4433
鸤	7221
㩧	5609
摱	5604
埗	4213
一	1000
丁	1020
七	4071
万	1022
丈	5000
三	1010
上	2110
下	1023
丌	1022
不	1090
与	2140
丏	1072
丐	1020
丑	1710
专	5030
且	7710
丕	1010
世	4471
丗	4477
丘	7210
丙	1022
业	3210
丛	8810
东	4090
丝	2210
丞	1710
丟	1073
両	1022
丢	2073
两	1022
严	1020
並	8010
丧	4073
丨	2000
个	8020
丫	8020
丬	3210
中	5000
丮	1751
丰	5000
丱	2277
串	5000
丳	5500
临	2806
丶	3000
丸	5001
丹	7744
为	3402
主	0010
丼	5500
丽	1022
举	9050
丿	2000
乂	4000
乃	1722
久	2780
乇	2071
么	2073
义	4000
之	3030
乌	2712
乍	8021
乎	2040
乏	2030
乐	7290
乒	7220
乓	7203
乔	2022
乕	7222
乖	2011
乗	2090
乘	2090
乙	1771
乜	4771
九	4001
乞	8071
也	4471
习	1712
乡	2020
乢	2271
书	5302
乩	2261
买	1780
乱	2261
乳	2241
